Radial Velocity,326.03,1.29,19.4,110.62,2.7,,
Radial Velocity,516.22,1.54,10.5,119.47,1.8,,
Radial Velocity,185.84,0.83,4.8,76.39,2.2,,
Radial Velocity,1773.4,2.77,4.64,18.15,0.9,,
Radial Velocity,798.5,1.681,1.68,21.41,0.99,,
Radial Velocity,993.3,2.6,10.3,73.1,2.3,,
Imaging,,330,8,145,0.85,,
Radial Velocity,452.8,1.333,1.99,74.79,1.54,,
Radial Velocity,883,2.08,0.86,74.79,1.54,,
Imaging,,52,24.5,36,0.4,,
Imaging,,156,13.9,39.4,0.11,1.44,
Imaging,,15,7.5,140,0.02,,
Imaging,,46,4,52.4,0.02,,
Eclipse Timing Variations,416,0.92,1.9,,0.48,,
Imaging,7336.5,,20.95,25,0.08,0.92,
Radial Velocity,335.1,0.995,9.88,39.43,1.16,,
Radial Velocity,269.3,0.87,7.1,77.4,1.23,,
Radial Velocity,479.1,1.19,3.88,97.28,0.98,,
Radial Velocity,1078,2.1,2.53,14.08,1.03,,
Radial Velocity,2391,3.6,0.54,14.08,1.03,,
Radial Velocity,14002,11.6,1.64,14.08,1.03,,
Imaging,,13.2,2,29.4,1.75,,
Radial Velocity,4.230785,0.0527,0.472,15.36,1.12,,
Radial Velocity,14.65152,0.115227,0.8306,12.53,0.91,,
Radial Velocity,44.4175,0.241376,0.1714,12.53,0.91,,
Radial Velocity,4825,5.503,3.878,12.53,0.91,,
Radial Velocity,0.7365515,0.015691,0.02561,12.53,0.91,,
Radial Velocity,262,0.788,0.141,12.53,0.91,,
Radial Velocity,874.774,2.18,2.21,56.95,1.7,,
Radial Velocity,4.215,0.050201,0.016,8.52,0.94,,
Radial Velocity,38.021,0.2175,0.057,8.52,0.94,,
Radial Velocity,123.01,0.476,0.072,8.52,0.94,,
Radial Velocity,796,1.93,2.46,19.84,1.52,,
Radial Velocity,116.6926,0.481,7.4,18.11,1.09,,
Radial Velocity,691.9,2.1,3,81.5,2.49,,
Radial Velocity,93.4,0.49,1.5,159.1,1.8,,
Radial Velocity,952.7,2.5,5.3,97.18,2.4,,
Radial Velocity,181.4,0.7,3.2,45.52,1.4,,
Imaging,,260,13.5,45.52,,,
Radial Velocity,268.94,0.777,1.47,50.03,0.86,,
Radial Velocity,137.48,0.539,1.11,175.44,1.1,,
Radial Velocity,7.78287,0.066,6.37,25.4,0.63,,
Radial Velocity,379.63,1.45,21.42,,2.8,,
Radial Velocity,621.99,2.01,12.47,,2.8,,
Radial Velocity,578.2,1.3,4.2,,0.8,,
Radial Velocity,392.6,1,0.91,,0.74,,
Radial Velocity,2590,4.2,1.6,,1.52,,
Radial Velocity,3.8728,0.0428,0.027,20.1,0.7,,
Radial Velocity,125.94,0.435,0.17,20.1,0.7,,
Radial Velocity,5.6,0.056,0.045,42.09,0.74,,
Radial Velocity,237.6,0.68,0.33,42.09,0.74,,
